,0,1,2,3,4,5,6,7,8,9,target
0,3.4992917,2.0383286,0.42734924,0.0,0.0,3.068699,0.0,0.0,0.0,1.4355423,2
1,0.0,3.0790734,0.18287641,1.4878554,1.8758211,0.0,0.0,0.77520657,0.0,0.06446687,0
2,3.6009834,1.4538487,0.64161545,0.0,0.0,2.8503926,0.0,0.0,0.0,0.6837391,2
3,0.0,0.0,0.69950265,0.421736,0.38617414,0.20208131,1.957058,0.0,3.4842002,0.0,0
4,5.2905016,1.1434897,0.0,0.0,0.0,4.5700583,0.4236649,0.0,0.0,0.0,2
5,0.0,0.8114631,2.4176548,0.48861754,0.0,3.550363,0.0,1.5786283,0.0,1.494452,0
6,3.7112806,0.0,0.0,0.0,1.1201642,2.7785356,0.0,0.0,0.0,2.690981,2
7,0.36229852,0.0,0.0,1.2296077,2.0158706,0.7054845,1.9205583,0.32847205,1.7449719,0.0,2
8,0.0,2.185784,0.7212632,0.35334462,0.0,2.831758,0.56882036,0.0,3.8894215,0.0,0
9,0.0,0.742746,0.0,0.0,0.0,0.0,0.6814784,0.0,2.332654,0.0,0
10,0.0,0.0,1.0708617,0.5728312,0.41580957,0.0,0.0,1.2125759,2.2553005,2.8563077,0
11,2.8765647,0.0,0.0,0.0,0.0,0.52239484,1.1882895,0.63895667,0.0,2.599628,2
12,0.0,0.0,0.46144205,0.0,1.076512,0.0,1.1385725,1.1854857,0.016987354,1.5514779,0
13,4.5269146,0.0,0.0,0.0,0.0,4.1180134,0.0,1.1903754,0.0,1.0061017,2
14,0.0,0.0,0.25302157,0.9106525,1.1683421,0.0,0.0,0.0,0.5877025,0.49483785,0
15,0.0,1.6375632,0.0,0.0,0.0,0.0,2.1491637,0.22038633,0.46281153,0.0,0
16,0.0,0.0,0.0,1.4993672,1.256519,0.0,0.0,1.5153106,0.98925227,0.0,0
17,1.127817,0.8997084,0.0,0.0,0.08562789,0.0,0.0,1.097942,0.0,0.0,0
18,0.7643712,1.4958874,0.1564582,0.4474383,0.0,0.18318959,0.0,0.0,0.0,1.484184,0
19,0.0,0.046896737,1.1453612,0.51965153,2.3093603,0.0,0.0,0.2915167,1.0243127,0.11090107,0
20,4.4450555,0.0,0.0,0.0,0.0,1.6719118,0.7953441,1.3578247,0.0,1.0193769,2
